"","model","method","nprox","est","se","bias_perc","n_variables","n_sims"
"1","Pleiotropic","full",5,0.392444095268491,0.0107230505939813,-1.8889761828773,12,500
"2","Pleiotropic","full",15,0.37193324517439,0.021800360954769,-7.01668870640239,32,500
"3","Pleiotropic","lasso1",5,0.509188208116732,0.00663178400525375,27.297052029183,6.326,500
"4","Pleiotropic","lasso1",15,0.685970502514568,0.00843025672872328,71.4926256286419,10.388,500
"5","Pleiotropic","lasso2",5,0.533198872548587,0.00840229550080364,33.2997181371468,6.326,500
"6","Pleiotropic","lasso2",15,0.783209065908314,0.0119731170275395,95.8022664770784,10.388,500
"7","Pleiotropic","pval",5,0.15688529591402,0.0150488692221245,-60.778676021495,0.892,500
"8","Pleiotropic","pval",15,0.0659352806855201,0.0438702301458778,-83.51617982862,2.4453125,384
"9","Simple","full",5,0.3968233792389,0.010183688796505,-0.794155190274988,12,500
"10","Simple","full",15,0.412733585339515,0.0207895406820192,3.18339633487876,32,500
"11","Simple","lasso1",5,0.505547426144351,0.00717204191405497,26.3868565360876,6.334,500
"12","Simple","lasso1",15,0.685463373545116,0.0082496471671856,71.365843386279,10.294,500
"13","Simple","lasso2",5,0.53068111002866,0.00899986412859534,32.6702775071649,6.334,500
"14","Simple","lasso2",15,0.780234566183678,0.011646058501029,95.0586415459194,10.294,500
"15","Simple","pval",5,0.166912997945516,0.016727149464773,-58.2717505136211,1.002,500
"16","Simple","pval",15,0.195036382011543,0.0452260139279891,-51.2409044971142,2.38133333333333,375
