"","prop_invalid_bin2","Adjusted (all variants)","Adjusted (outliers)","Hybrid (all variants)","Hybrid (outliers)","MVMR (all variants)","MVMR (outliers)","Raw","Removed (detected candidates)","Removed (detected outliers)","scenario"
"1",0,0.887405079863839,0.921926568903611,0.693855284978616,0.729172963236094,0.996726891856507,0.99733428436718,0.897687872406,0.960069087733717,0.715213786999055,"Genetic confounder"
"2",0.2,0.831289120323108,0.940275490928354,0.703124900271899,0.711281572259056,0.998340078033281,0.998940873021477,0.826305097441248,0.890355472398235,0.686271256596817,"Genetic confounder"
"3",0.4,0.817827684181988,0.960977521475841,0.670213623268584,0.691398163384973,0.99845606846156,0.998573904496057,0.807298124550765,0.870513071684573,0.637082936456039,"Genetic confounder"
"4",0.6,0.69449591492266,0.933531826607064,0.541789331207267,0.690771137600462,0.998566167693993,0.998930715911332,0.78568328065844,0.793995835325331,0.598906596496868,"Genetic confounder"
"5",0.8,0.487063258334315,0.938530196551936,0.680161385322182,0.763438048634717,0.998304865119567,0.99807072396815,0.928731595703702,0.670290312258501,0.613094063178857,"Genetic confounder"
"6",0,0.999828642303047,0.999641742509318,0.965310946220883,0.973324973991884,0.999232970308879,0.999579736405162,0.709773401253414,0.999201644755528,0.956883683781514,"Balanced horizontal pleiotropy"
"7",0.2,0.999210481392967,0.998351730716817,0.966594827586207,0.960466748432815,0.997732445658359,0.997370536931044,0.728987424049149,0.997902152407636,0.940830711458792,"Balanced horizontal pleiotropy"
"8",0.4,0.998609656100053,0.9973641033917,0.965692779265122,0.948253046074397,0.99618334432675,0.993260980661126,0.726677050112487,0.995119780464288,0.914938152570727,"Balanced horizontal pleiotropy"
"9",0.6,0.996212618841832,0.995091618452573,0.956242581388649,0.925354542865015,0.992939210602132,0.974104478657383,0.723166648108712,0.986984059877239,0.851488279769589,"Balanced horizontal pleiotropy"
"10",0.8,0.993306042664691,0.991187923827503,0.927334409054475,0.877483136578469,0.98564728485054,0.936991298100402,0.710825165302308,0.970109483880978,0.774012309101193,"Balanced horizontal pleiotropy"
"11",0,0.999934872605152,0.999798258904782,0.994791224225126,0.994785340518099,0.998711610232363,0.998927293900602,0.971727327653537,0.999517561125883,0.99334795737135,"Directional horizontal pleiotropy"
"12",0.2,0.999085313301046,0.999006231584999,0.978604949872945,0.97680180411401,0.998488264764267,0.995866826819428,0.958563453036959,0.998505141485686,0.962424567404843,"Directional horizontal pleiotropy"
"13",0.4,0.997458313005488,0.999346365995024,0.949053868318261,0.933078549466088,0.996757590998108,0.98144546491386,0.95843179498626,0.995699712580933,0.870273072005838,"Directional horizontal pleiotropy"
"14",0.6,0.996883505283723,0.997451922663618,0.930332384166386,0.879685015001332,0.994016833384955,0.949405821147437,0.959870460098078,0.984281202945846,0.778675435096408,"Directional horizontal pleiotropy"
"15",0.8,0.995944232162857,0.995875037155379,0.90951880476316,0.841544476875689,0.98949000263522,0.92035864896535,0.948797743322324,0.93864217099493,0.711174395789211,"Directional horizontal pleiotropy"
"16",0.0333333333333333,0.98391959798995,0.992647058823529,0.978391959798995,0.992121848739496,0.544221105527638,0.621848739495798,0.826656394453005,0.996918335901387,0.996404725218285,"Complete mediation"
"17",0.333333333333333,0.96,0.995,0.9605,0.9945,0.5335,0.5345,0.84875,0.99025,0.99825,"Complete mediation"
"18",0.666666666666667,0.92,0.98,0.9425,0.9865,0.527,0.5325,0.84,0.97075,0.99575,"Complete mediation"
"19",0.833333333333333,0.882382382382382,0.973473473473473,0.937437437437437,0.988988988988989,0.525525525525526,0.527027027027027,0.843343343343343,0.954454454454454,0.994744744744745,"Complete mediation"
"20",0.0333333333333333,0.997497497497497,0.997357293868922,0.997497497497497,0.997885835095137,0.993993993993994,0.996828752642706,0.988688946015424,0.997686375321337,0.998200514138817,"Partial mediation"
"21",0.333333333333333,0.998,0.9985,0.9975,1,0.984,0.983,0.991,0.998,0.99925,"Partial mediation"
"22",0.666666666666667,0.997,0.9985,0.9985,0.9985,0.974,0.9785,0.992,0.993,0.99875,"Partial mediation"
"23",0.833333333333333,0.9955,0.9985,0.9965,0.9985,0.961,0.9775,0.99275,0.9875,0.99825,"Partial mediation"
